name,description,format,weight,parent_name,image,image_title,image_alt
Accommodation,,,,,,,
Alpine hut,,,,Accommodation,accommodation_alpinehut.n.64.png,Alpine hut,
Youth hostel,,,,Accommodation,accommodation_youth_hostel.n.64.png,Youth hostel,
Food,,,,,,,
Cafe,,,,Food,food_cafe.n.64.png,Cafe,
Ice cream,,,,Food,food_ice_cream.n.64.png,Ice cream,
Drinking water,,,,Food,food_drinkingtap.n.64.png,Drinking water,
Education,,,,,,,
Nursery school,,,,Education,education_nursery.n.64.png,Nursery school,
Secondary school,,,,Education,education_school_secondary.n.64.png,Secondary school,
University,,,,Education,education_university.n.64.png,University,
Public amenity,,,,,,,
Court,,,,Public amenity,amenity_court.n.64.png,Court,
Library,,,,Public amenity,amenity_library.n.64.png,Library,
Playground,,,,Public amenity,amenity_playground.n.64.png,Playground,
Points of interest,,,,,,,
Park,,,,Points of interest,tourist_fountain.n.64.png,Park,
Archaeological site,,,,Points of interest,tourist_ruin.n.64.png,Archaeological site,
